rulename diff lwr upr padj
服従-好奇心 12.7 5.58850298064103 19.8114970193589 2.60757775372156e-08
攻撃-好奇心 13.5 6.38850298064104 20.6114970193589 1.88661353206498e-09
軽蔑-好奇心 14.2 7.08850298064105 21.311497019359 1.74399494845545e-10
恐れ-好奇心 14.6 7.48850298064107 21.711497019359 4.37724301249887e-11
怒り-好奇心 14.8 7.68850298064104 21.9114970193589 2.20140572437799e-11
畏怖-好奇心 16.2 9.08850298064108 23.311497019359 1.0037526365636e-12
悲観-好奇心 17.2 10.088502980641 24.3114970193589 8.75410854916936e-13
拒絶-好奇心 17.8 10.6885029806411 24.911497019359 8.80295836225287e-13
嫌悪-好奇心 17.8999999999999 10.788502980641 25.0114970193589 8.85957973650875e-13
悲しみ-好奇心 18 10.8885029806411 25.111497019359 8.76521077941561e-13
憤慨-好奇心 19.1 11.988502980641 26.2114970193589 8.77742323268649e-13
恥辱-好奇心 19.9 12.788502980641 27.011497019359 8.23674461969404e-13
悲憤-好奇心 20.4 13.288502980641 27.5114970193589 7.70827845997246e-13
憎悪-好奇心 21 13.888502980641 28.1114970193589 6.87894186057747e-13
絶望-好奇心 24.5 17.3885029806411 31.611497019359 5.74984504453369e-13
楽観-期待（予測） 1.10000000000009 -6.01149701935886 8.21149701935905 1
自尊心-期待（予測） 2.3 -4.81149701935895 9.41149701935895 0.99999782946157
運命-期待（予測） 2.30000000000003 -4.81149701935892 9.41149701935899 0.99999782946157
驚き-期待（予測） 3.30000000000003 -3.81149701935892 10.411497019359 0.997172143984448
感傷-期待（予測） 10.3000000000001 3.18850298064111 17.411497019359 3.34656734499728e-05
不安-期待（予測） 10.7 3.58850298064105 17.811497019359 1.10275934277482e-05
不健全-期待（予測） 11 3.88850298064104 18.1114970193589 4.68655059704393e-06
皮肉-期待（予測） 11.1 3.98850298064104 18.2114970193589 3.50853330555179e-06
後悔-期待（予測） 11.7 4.58850298064102 18.8114970193589 5.91598919075231e-07
罪悪感-期待（予測） 11.8 4.68850298064101 18.9114970193589 4.36660438585257e-07
服従-期待（予測） 12.5 5.38850298064103 19.6114970193589 4.94101825010418e-08
攻撃-期待（予測） 13.3 6.18850298064104 20.4114970193589 3.67471175710676e-09
軽蔑-期待（予測） 14 6.88850298064106 21.111497019359 3.46708328713419e-10
恐れ-期待（予測） 14.4 7.28850298064108 21.511497019359 8.74030847697327e-11
怒り-期待（予測） 14.6 7.48850298064105 21.711497019359 4.37724301249887e-11
畏怖-期待（予測） 16 8.88850298064108 23.111497019359 1.14275255924667e-12
悲観-期待（予測） 17 9.88850298064104 24.1114970193589 8.84958772928712e-13
